fips5,State,Area name,labor_force_2023,employed_2023,median_household_income_2022,unemployed_2023,unemployment_rate_2023,edu_some_college_pct_2019_23,edu_hs_grad_pct_2019_23,edu_not_hs_pct_2019_23,edu_bachelors_plus_pct_2019_23,poverty_rate_2023,poverty_count_2023,edu_pct_sum_2019_23
01001,AL,"Autauga County, AL",27000.0,26409.0,70148.0,591.0,2.2,29.32028356,32.67593887,9.721097947,28.28267962,11.7,7004.0,99.99999999699999
01003,AL,"Baldwin County, AL",104409.0,102029.0,71704.0,2380.0,2.3,31.391725,27.54203782,8.268600135,32.79763704,10.0,24942.0,99.99999999500001
01005,AL,"Barbour County, AL",7944.0,7592.0,41151.0,352.0,4.4,28.74404357,37.60494668,22.18629453,11.46471523,25.5,5585.0,100.00000001
01007,AL,"Bibb County, AL",8772.0,8556.0,54309.0,216.0,2.5,27.7446488,41.12736175,19.65978281,11.46820664,19.4,3870.0,100.0
01009,AL,"Blount County, AL",25836.0,25282.0,60553.0,554.0,2.1,31.49959747,35.61757459,17.30379839,15.57902954,12.8,7590.0,99.99999998999999
01011,AL,"Bullock County, AL",4500.0,4393.0,35798.0,107.0,2.4,24.46462456,40.58010301,25.95554351,8.999728924,33.6,2779.0,100.000000004
01013,AL,"Butler County, AL",9009.0,8746.0,41852.0,263.0,2.9,26.86873291,46.96140991,12.40504406,13.76481313,23.6,4263.0,100.00000001000001
01015,AL,"Calhoun County, AL",45540.0,44256.0,52772.0,1284.0,2.8,31.05294619,34.48815292,13.91379552,20.54510537,20.1,22174.0,100.0
01017,AL,"Chambers County, AL",16272.0,15884.0,45563.0,388.0,2.4,30.58323803,38.45368404,16.3780428,14.58503512,17.1,5661.0,99.99999999
01019,AL,"Cherokee County, AL",11854.0,11570.0,52613.0,284.0,2.4,30.56398786,37.3595356,16.1314374,15.94503914,15.6,3949.0,100.0
01021,AL,"Chilton County, AL",20293.0,19848.0,61823.0,445.0,2.2,27.70026344,41.23979575,15.81292484,15.24701597,15.3,7026.0,100.0
01023,AL,"Choctaw County, AL",4221.0,4052.0,44458.0,169.0,4.0,29.82885086,40.47566126,15.78128473,13.91420316,24.8,3017.0,100.00000001000001
01025,AL,"Clarke County, AL",7591.0,7212.0,44906.0,379.0,5.0,27.47087561,42.37128899,14.73130402,15.42653138,19.0,4174.0,100.0
01027,AL,"Clay County, AL",5945.0,5805.0,49599.0,140.0,2.4,30.50979628,37.01140462,17.24339604,15.23540306,16.9,2337.0,100.0
01029,AL,"Cleburne County, AL",6205.0,6064.0,49248.0,141.0,2.3,28.23865206,38.94668999,14.60270693,18.21195102,15.8,2432.0,100.00000000000001
01031,AL,"Coffee County, AL",21781.0,21235.0,62429.0,546.0,2.5,35.41350531,29.08085844,13.97680468,21.52883156,16.5,9055.0,99.99999999
01033,AL,"Colbert County, AL",24063.0,23355.0,54593.0,708.0,2.9,32.72243643,34.55512714,12.45058324,20.27185319,15.4,8912.0,100.0
01035,AL,"Conecuh County, AL",4259.0,4108.0,36106.0,151.0,3.5,26.2704565,48.08662483,12.51384275,13.12907592,26.5,2920.0,100.00000000000001
01037,AL,"Coosa County, AL",4549.0,4433.0,49485.0,116.0,2.6,28.39319471,39.50850662,17.22747322,14.87082546,18.2,1809.0,100.00000001000001
01039,AL,"Covington County, AL",14872.0,14464.0,46958.0,408.0,2.7,32.17430742,36.83056805,13.8176046,17.17751994,16.7,6204.0,100.00000000999998
01041,AL,"Crenshaw County, AL",6160.0,5996.0,49161.0,164.0,2.7,24.47275923,41.30052724,17.42091388,16.80579965,19.5,2520.0,100.0
01043,AL,"Cullman County, AL",39773.0,38961.0,61774.0,812.0,2.0,34.92628205,30.98237179,15.00480769,19.08653846,15.5,14081.0,99.99999998999999
01045,AL,"Dale County, AL",21198.0,20661.0,50567.0,537.0,2.5,35.21518089,31.18053913,14.27642469,19.32785528,16.6,8124.0,99.99999998999999
01047,AL,"Dallas County, AL",13537.0,12803.0,35258.0,734.0,5.4,31.01109499,39.04026346,12.94154546,17.00709609,31.4,11197.0,100.0
01049,AL,"DeKalb County, AL",31004.0,30300.0,50037.0,704.0,2.3,31.41713437,33.64765599,21.05480357,13.88040607,21.6,15494.0,100.0
01051,AL,"Elmore County, AL",38594.0,37772.0,71463.0,822.0,2.1,30.72711415,34.46766587,10.41087926,24.39434072,12.5,10562.0,100.0
01053,AL,"Escambia County, AL",14440.0,13990.0,47792.0,450.0,3.1,26.84811169,43.19385074,17.46735166,12.49068591,21.3,7331.0,100.0
01055,AL,"Etowah County, AL",39430.0,38328.0,55487.0,1102.0,2.8,34.33236875,33.96858206,14.22213036,17.47691884,19.6,19921.0,100.00000001000001
01057,AL,"Fayette County, AL",6582.0,6392.0,49205.0,190.0,2.9,31.73796791,37.89661319,14.76827094,15.59714795,16.2,2542.0,99.99999998999999
01059,AL,"Franklin County, AL",14247.0,13881.0,49611.0,366.0,2.6,25.19379845,39.40253356,20.51427491,14.88939308,22.5,7035.0,100.00000000000001
